Material_ID,Material_Name,Material_Class,Base_Fiber,Coating_Type,Weave_Pattern,Test_Environment,Areal_Density_gm2,Thickness_mm,Outgassing_TML_percent,Outgassing_CVCM_percent,Flammability_Rating,Thermal_Conductivity_Through_WmK,Thermal_Conductivity_InPlane_WmK,Tensile_Strength_MPa,Tensile_Modulus_GPa,Bulk_Density_kgm3,Max_Service_Temp_C,k_-100C_WmK,k_0C_WmK,k_23C_WmK,k_150C_WmK,k_200C_WmK,Notes,Data_Source
FAB-COTTON-RI-200,Cotton fabric,Textile,Cotton,,Ripstop,Air,160.0,0.2,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-RI-500,Cotton fabric,Textile,Cotton,,Ripstop,Air,400.0,0.5,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-COTTON-RI-1000,Cotton fabric,Textile,Cotton,,Ripstop,Air,800.0,1.0,,,Fail,0.06,,,,1520,,,,0.06,,,Representative values; verify per supplier grade.,Thermtest; general refs
FAB-WOOL-PL-200,Wool fabric,Textile,Wool,,Plain,Air,150.0,0.2,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-PL-500,Wool fabric,Textile,Wool,,Plain,Air,375.0,0.5,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-PL-1000,Wool fabric,Textile,Wool,,Plain,Air,750.0,1.0,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-TW-200,Wool fabric,Textile,Wool,,Twill,Air,180.0,0.2,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-TW-500,Wool fabric,Textile,Wool,,Twill,Air,450.0,0.5,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-TW-1000,Wool fabric,Textile,Wool,,Twill,Air,900.0,1.0,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-SA-200,Wool fabric,Textile,Wool,,Satin,Air,200.0,0.2,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-SA-500,Wool fabric,Textile,Wool,,Satin,Air,500.0,0.5,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-SA-1000,Wool fabric,Textile,Wool,,Satin,Air,1000.0,1.0,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-BA-200,Wool fabric,Textile,Wool,,Basket,Air,220.0,0.2,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-BA-500,Wool fabric,Textile,Wool,,Basket,Air,550.0,0.5,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-BA-1000,Wool fabric,Textile,Wool,,Basket,Air,1100.0,1.0,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-RI-200,Wool fabric,Textile,Wool,,Ripstop,Air,160.0,0.2,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-RI-500,Wool fabric,Textile,Wool,,Ripstop,Air,400.0,0.5,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-WOOL-RI-1000,Wool fabric,Textile,Wool,,Ripstop,Air,800.0,1.0,,,Self-extinguishing,0.035,,,,1307,,,,0.035,,,Representative values; verify per supplier grade.,Wool insulation refs
FAB-SILK-PL-200,Silk fabric,Textile,Silk,,Plain,Air,150.0,0.2,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-PL-500,Silk fabric,Textile,Silk,,Plain,Air,375.0,0.5,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-PL-1000,Silk fabric,Textile,Silk,,Plain,Air,750.0,1.0,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-TW-200,Silk fabric,Textile,Silk,,Twill,Air,180.0,0.2,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-TW-500,Silk fabric,Textile,Silk,,Twill,Air,450.0,0.5,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-TW-1000,Silk fabric,Textile,Silk,,Twill,Air,900.0,1.0,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-SA-200,Silk fabric,Textile,Silk,,Satin,Air,200.0,0.2,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-SA-500,Silk fabric,Textile,Silk,,Satin,Air,500.0,0.5,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-SA-1000,Silk fabric,Textile,Silk,,Satin,Air,1000.0,1.0,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-BA-200,Silk fabric,Textile,Silk,,Basket,Air,220.0,0.2,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-BA-500,Silk fabric,Textile,Silk,,Basket,Air,550.0,0.5,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-BA-1000,Silk fabric,Textile,Silk,,Basket,Air,1100.0,1.0,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-RI-200,Silk fabric,Textile,Silk,,Ripstop,Air,160.0,0.2,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-RI-500,Silk fabric,Textile,Silk,,Ripstop,Air,400.0,0.5,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-SILK-RI-1000,Silk fabric,Textile,Silk,,Ripstop,Air,800.0,1.0,,,Fail,0.083,,,,1340,,,,0.083,,,Representative values; verify per supplier grade.,Silk refs
FAB-FLAX/LINEN-PL-200,Flax/Linen fabric,Textile,Flax/Linen,,Plain,Air,150.0,0.2,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-PL-500,Flax/Linen fabric,Textile,Flax/Linen,,Plain,Air,375.0,0.5,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-PL-1000,Flax/Linen fabric,Textile,Flax/Linen,,Plain,Air,750.0,1.0,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-TW-200,Flax/Linen fabric,Textile,Flax/Linen,,Twill,Air,180.0,0.2,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-TW-500,Flax/Linen fabric,Textile,Flax/Linen,,Twill,Air,450.0,0.5,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-TW-1000,Flax/Linen fabric,Textile,Flax/Linen,,Twill,Air,900.0,1.0,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-SA-200,Flax/Linen fabric,Textile,Flax/Linen,,Satin,Air,200.0,0.2,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-SA-500,Flax/Linen fabric,Textile,Flax/Linen,,Satin,Air,500.0,0.5,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-SA-1000,Flax/Linen fabric,Textile,Flax/Linen,,Satin,Air,1000.0,1.0,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-BA-200,Flax/Linen fabric,Textile,Flax/Linen,,Basket,Air,220.0,0.2,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-BA-500,Flax/Linen fabric,Textile,Flax/Linen,,Basket,Air,550.0,0.5,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-BA-1000,Flax/Linen fabric,Textile,Flax/Linen,,Basket,Air,1100.0,1.0,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-RI-200,Flax/Linen fabric,Textile,Flax/Linen,,Ripstop,Air,160.0,0.2,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-RI-500,Flax/Linen fabric,Textile,Flax/Linen,,Ripstop,Air,400.0,0.5,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-FLAX/LINEN-RI-1000,Flax/Linen fabric,Textile,Flax/Linen,,Ripstop,Air,800.0,1.0,,,Fail,0.04,,,,1500,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-PL-200,Hemp fabric,Textile,Hemp,,Plain,Air,150.0,0.2,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-PL-500,Hemp fabric,Textile,Hemp,,Plain,Air,375.0,0.5,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-PL-1000,Hemp fabric,Textile,Hemp,,Plain,Air,750.0,1.0,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-TW-200,Hemp fabric,Textile,Hemp,,Twill,Air,180.0,0.2,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-TW-500,Hemp fabric,Textile,Hemp,,Twill,Air,450.0,0.5,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-TW-1000,Hemp fabric,Textile,Hemp,,Twill,Air,900.0,1.0,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-SA-200,Hemp fabric,Textile,Hemp,,Satin,Air,200.0,0.2,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-SA-500,Hemp fabric,Textile,Hemp,,Satin,Air,500.0,0.5,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-SA-1000,Hemp fabric,Textile,Hemp,,Satin,Air,1000.0,1.0,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-BA-200,Hemp fabric,Textile,Hemp,,Basket,Air,220.0,0.2,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-BA-500,Hemp fabric,Textile,Hemp,,Basket,Air,550.0,0.5,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-BA-1000,Hemp fabric,Textile,Hemp,,Basket,Air,1100.0,1.0,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-RI-200,Hemp fabric,Textile,Hemp,,Ripstop,Air,160.0,0.2,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-RI-500,Hemp fabric,Textile,Hemp,,Ripstop,Air,400.0,0.5,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-HEMP-RI-1000,Hemp fabric,Textile,Hemp,,Ripstop,Air,800.0,1.0,,,Fail,0.04,,,,1480,,,,0.04,,,Representative values; verify per supplier grade.,Textile handbooks
FAB-BAMBOO_VISCOSE-PL-200,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Plain,Air,150.0,0.2,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-PL-500,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Plain,Air,375.0,0.5,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-PL-1000,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Plain,Air,750.0,1.0,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-TW-200,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Twill,Air,180.0,0.2,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-TW-500,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Twill,Air,450.0,0.5,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-TW-1000,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Twill,Air,900.0,1.0,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-SA-200,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Satin,Air,200.0,0.2,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-SA-500,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Satin,Air,500.0,0.5,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-SA-1000,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Satin,Air,1000.0,1.0,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-BA-200,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Basket,Air,220.0,0.2,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-BA-500,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Basket,Air,550.0,0.5,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-BA-1000,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Basket,Air,1100.0,1.0,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-RI-200,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Ripstop,Air,160.0,0.2,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-RI-500,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Ripstop,Air,400.0,0.5,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-BAMBOO_VISCOSE-RI-1000,Bamboo Viscose fabric,Textile,Bamboo Viscose,,Ripstop,Air,800.0,1.0,,,Fail,0.08,,,,1510,,,,0.08,,,Representative values; verify per supplier grade.,Viscose refs
FAB-PET-PL-200,PET fabric,Textile,PET,,Plain,Air,150.0,0.2,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-PL-500,PET fabric,Textile,PET,,Plain,Air,375.0,0.5,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-PL-1000,PET fabric,Textile,PET,,Plain,Air,750.0,1.0,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-TW-200,PET fabric,Textile,PET,,Twill,Air,180.0,0.2,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-TW-500,PET fabric,Textile,PET,,Twill,Air,450.0,0.5,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-TW-1000,PET fabric,Textile,PET,,Twill,Air,900.0,1.0,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-SA-200,PET fabric,Textile,PET,,Satin,Air,200.0,0.2,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-SA-500,PET fabric,Textile,PET,,Satin,Air,500.0,0.5,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-SA-1000,PET fabric,Textile,PET,,Satin,Air,1000.0,1.0,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-BA-200,PET fabric,Textile,PET,,Basket,Air,220.0,0.2,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-BA-500,PET fabric,Textile,PET,,Basket,Air,550.0,0.5,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-BA-1000,PET fabric,Textile,PET,,Basket,Air,1100.0,1.0,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-RI-200,PET fabric,Textile,PET,,Ripstop,Air,160.0,0.2,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-RI-500,PET fabric,Textile,PET,,Ripstop,Air,400.0,0.5,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PET-RI-1000,PET fabric,Textile,PET,,Ripstop,Air,800.0,1.0,,,Pass,0.181,,,,1390,,,,0.181,,,Representative values; verify per supplier grade.,MatWeb/PET
FAB-PA6-PL-200,PA6 fabric,Textile,PA6,,Plain,Air,150.0,0.2,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-PL-500,PA6 fabric,Textile,PA6,,Plain,Air,375.0,0.5,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-PL-1000,PA6 fabric,Textile,PA6,,Plain,Air,750.0,1.0,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-TW-200,PA6 fabric,Textile,PA6,,Twill,Air,180.0,0.2,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-TW-500,PA6 fabric,Textile,PA6,,Twill,Air,450.0,0.5,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-TW-1000,PA6 fabric,Textile,PA6,,Twill,Air,900.0,1.0,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-SA-200,PA6 fabric,Textile,PA6,,Satin,Air,200.0,0.2,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-SA-500,PA6 fabric,Textile,PA6,,Satin,Air,500.0,0.5,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-SA-1000,PA6 fabric,Textile,PA6,,Satin,Air,1000.0,1.0,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-BA-200,PA6 fabric,Textile,PA6,,Basket,Air,220.0,0.2,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-BA-500,PA6 fabric,Textile,PA6,,Basket,Air,550.0,0.5,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-BA-1000,PA6 fabric,Textile,PA6,,Basket,Air,1100.0,1.0,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-RI-200,PA6 fabric,Textile,PA6,,Ripstop,Air,160.0,0.2,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-RI-500,PA6 fabric,Textile,PA6,,Ripstop,Air,400.0,0.5,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA6-RI-1000,PA6 fabric,Textile,PA6,,Ripstop,Air,800.0,1.0,,,Fail,0.26,,,,1120,,,,0.26,,,Representative values; verify per supplier grade.,Nylon 6 refs
FAB-PA66-PL-200,PA66 fabric,Textile,PA66,,Plain,Air,150.0,0.2,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-PL-500,PA66 fabric,Textile,PA66,,Plain,Air,375.0,0.5,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-PL-1000,PA66 fabric,Textile,PA66,,Plain,Air,750.0,1.0,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-TW-200,PA66 fabric,Textile,PA66,,Twill,Air,180.0,0.2,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-TW-500,PA66 fabric,Textile,PA66,,Twill,Air,450.0,0.5,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-TW-1000,PA66 fabric,Textile,PA66,,Twill,Air,900.0,1.0,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-SA-200,PA66 fabric,Textile,PA66,,Satin,Air,200.0,0.2,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-SA-500,PA66 fabric,Textile,PA66,,Satin,Air,500.0,0.5,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-SA-1000,PA66 fabric,Textile,PA66,,Satin,Air,1000.0,1.0,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-BA-200,PA66 fabric,Textile,PA66,,Basket,Air,220.0,0.2,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-BA-500,PA66 fabric,Textile,PA66,,Basket,Air,550.0,0.5,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-BA-1000,PA66 fabric,Textile,PA66,,Basket,Air,1100.0,1.0,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-RI-200,PA66 fabric,Textile,PA66,,Ripstop,Air,160.0,0.2,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-RI-500,PA66 fabric,Textile,PA66,,Ripstop,Air,400.0,0.5,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PA66-RI-1000,PA66 fabric,Textile,PA66,,Ripstop,Air,800.0,1.0,,,Fail,0.25,,,,1140,,,,0.25,,,Representative values; verify per supplier grade.,"Nylon 6,6 refs"
FAB-PP-PL-200,PP fabric,Textile,PP,,Plain,Air,150.0,0.2,,,Fail,0.28,,,,910,,,,0.28,,,Representative values; verify per supplier grade.,PP refs
